消化系统药物 [口服常释剂型],国家
桂芍镇痫片,内科用药 ,国家
舒胆胶囊（片）,内科用药 ,国家
乙肝宁颗粒（片）,内科用药 ,国家
枫蓼肠胃康颗粒（胶囊、片）,内科用药 ,国家
双苓止泻口服液,内科用药 ,国家
理中片,内科用药 ,国家
小儿腹泻贴,内科用药 ,国家
香砂养胃丸（颗粒、胶囊、片）,内科用药 ,国家
通宣理肺口服液,内科用药 ,国家
金荞麦胶囊（片）,内科用药 ,国家
蛇胆川贝散（胶囊）,内科用药 ,国家
枇杷止咳颗粒（胶囊）,内科用药 ,国家
清咳平喘颗粒,内科用药 ,国家
止嗽化痰颗粒（胶囊、丸）,内科用药 ,国家
枇杷叶膏,内科用药 ,国家
海珠喘息定片,内科用药 ,国家
小建中颗粒（胶囊、片）,内科用药 ,国家
参附注射液,内科用药 ,国家
镇咳宁糖浆（颗粒、胶囊、口服液）,内科用药 ,国家
利肺片,内科用药 ,国家
小儿消积止咳口服液,内科用药 ,国家
强力枇杷露（胶囊）,内科用药 ,国家
小儿咳喘灵颗粒,内科用药 ,国家
珠珀猴枣散,内科用药 ,国家
桂龙咳喘宁胶囊（片）,内科用药 ,国家
喘可治注射液,内科用药 ,国家
丹葶肺心颗粒,内科用药 ,国家
固本咳喘胶囊（片）,内科用药 ,国家
桂龙咳喘宁颗粒,内科用药 ,国家
止喘灵注射液,内科用药 ,国家
安脑丸（片）,内科用药 ,国家
醒脑静注射液,内科用药 ,国家
补中益气丸（颗粒）,内科用药 ,国家
补中益气合剂（片、口服液）,内科用药 ,国家
四君子丸（颗粒）,内科用药 ,国家
补脾益肠丸,内科用药 ,国家
复方川贝精胶囊（片）,内科用药 ,国家
固肾定喘丸,内科用药 ,国家
咳喘宁合剂（颗粒、胶囊、片、口服液）,内科用药 ,国家
安宫牛黄丸,内科用药 ,国家
速效牛黄丸,内科用药 ,国家
固本益肠胶囊（片）,内科用药 ,国家
参苓白术丸（散、颗粒）,内科用药 ,国家
黄芪颗粒（片）,内科用药 ,国家
香砂六君丸,内科用药 ,国家
利舒康胶囊,内科用药 ,国家
芪胶升白胶囊,内科用药 ,国家
人参养荣丸,内科用药 ,国家
津力达颗粒,内科用药 ,国家
天麦消渴片,内科用药 ,国家
心通颗粒（口服液）,内科用药 ,国家
振源胶囊（片）,内科用药 ,国家
刺五加脑灵液,内科用药 ,国家
枣仁安神颗粒（胶囊）,内科用药 ,国家
补脑安神胶囊（片）,内科用药 ,国家
致康胶囊,内科用药 ,国家
强肝丸（颗粒、胶囊、片）,内科用药 ,国家
养心定悸颗粒（胶囊）,内科用药 ,国家
芪蛭降糖胶囊（片）,内科用药 ,国家
天芪降糖胶囊,内科用药 ,国家
养心生脉颗粒,内科用药 ,国家
参麦注射液,内科用药 ,国家
益心宁神片,内科用药 ,国家
活力苏口服液,内科用药 ,国家
十灰丸（散）,内科用药 ,国家
健脾生血颗粒（片）,内科用药 ,国家
健脾止泻宁颗粒,内科用药 ,国家
胃复春胶囊（片）,内科用药 ,国家
四物膏（颗粒、胶囊、片）,内科用药 ,国家
养阴生血合剂,内科用药 ,国家
麦味地黄丸（胶囊、片）,内科用药 ,国家
左归丸,内科用药 ,国家
滋心阴颗粒（胶囊、口服液）,内科用药 ,国家
消渴康颗粒,内科用药 ,国家
桂附地黄丸（颗粒、胶囊、片）,内科用药 ,国家
心脑欣丸（胶囊、片）,内科用药 ,国家
启脾丸（口服液）,内科用药 ,国家
养胃颗粒（片）,内科用药 ,国家
小儿生血糖浆,内科用药 ,国家
知柏地黄丸,内科用药 ,国家
知柏地黄颗粒（胶囊、片）,内科用药 ,国家
补肺活血胶囊,内科用药 ,国家
乙肝养阴活血颗粒,内科用药 ,国家
金匮肾气丸（片）,内科用药 ,国家
复方苁蓉益智胶囊,内科用药 ,国家
通心络胶囊（片）,内科用药 ,国家
参芍胶囊（片）,内科用药 ,国家
脉络通颗粒（胶囊、片）,内科用药 ,国家
芪参益气滴丸,内科用药 ,国家
愈心痛胶囊,内科用药 ,国家
速效救心丸,内科用药 ,国家
冠心丹参颗粒（胶囊、片、滴丸）,内科用药 ,国家
脑得生丸（颗粒、胶囊、片）,内科用药 ,国家
脉络宁注射液,内科用药 ,国家
丹鹿通督片,内科用药 ,国家
正心泰颗粒（胶囊、片）,内科用药 ,国家
复方地龙胶囊（片）,内科用药 ,国家
木丹颗粒,内科用药 ,国家
益心舒丸（颗粒、胶囊、片）,内科用药 ,国家
地奥心血康胶囊,内科用药 ,国家
血府逐瘀丸（胶囊、片）,内科用药 ,国家
冠心舒通胶囊,内科用药 ,国家
丹参舒心胶囊,内科用药 ,国家
通塞脉颗粒（胶囊、片）,内科用药 ,国家
黄根片,内科用药 ,国家
红花逍遥颗粒（胶囊、片）,内科用药 ,国家
九味肝泰胶囊,内科用药 ,国家
舒肝解郁胶囊,内科用药 ,国家
逍遥胶囊（片）,内科用药 ,国家
肝达康颗粒（胶囊、片）,内科用药 ,国家
快胃片,内科用药 ,国家
木香顺气丸（颗粒）,内科用药 ,国家
胃康胶囊,内科用药 ,国家
胃力康颗粒,内科用药 ,国家
枳术宽中胶囊,内科用药 ,国家
王氏保赤丸,内科用药 ,国家
平肝舒络丸,内科用药 ,国家
舒肝丸（散、颗粒、片）,内科用药 ,国家
气滞胃痛颗粒（胶囊、片）,内科用药 ,国家
加味左金丸,内科用药 ,国家
摩罗丹,内科用药 ,国家
舒肝止痛丸,内科用药 ,国家
胃康灵丸（颗粒、胶囊、片）,内科用药 ,国家
小儿香橘丸,内科用药 ,国家
